draw_id,selection_seed,row_order,sample_id,point_id,Lon,Lat,Year,Month,split,target_original_row_index,veg_class
BG64_D1,202607270641,0,54813,217,94.6667104287,33.4644901217,2015,10,train,177,Veg_Sparse
BG64_D1,202607270641,1,19529,077,94.5139968304,33.2084702657,2015,6,train,173,Veg_Meadow_497
BG64_D1,202607270641,2,43625,173,96.0231665077,32.7054137066,2007,6,train,77,Veg_Meadow_499
BG64_D1,202607270641,3,52993,210,93.5123752886,33.585762685,2011,2,train,121,Veg_Meadow_504
BG64_D1,202607270641,4,29560,117,95.5156183722,32.8356694228,2011,5,train,124,Veg_Meadow_497
BG64_D1,202607270641,5,36851,146,94.253485398,33.2174534185,2009,12,train,107,Veg_Meadow_497
BG64_D1,202607270641,6,28532,113,93.772886721,33.105164008,2009,9,train,104,Veg_Meadow_497
BG64_D1,202607270641,7,51663,205,94.0872970705,33.671102637,2005,4,train,51,Veg_Meadow_504
BG64_D1,202607270641,8,13869,055,94.1007717997,33.4555069688,2005,10,train,57,Veg_Meadow_497
BG64_D1,202607270641,9,3304,013,95.7222308876,32.7009221302,2007,5,train,76,Veg_Coniferous
BG64_D1,202607270641,10,40625,161,94.6442525466,33.2444028771,2009,6,train,101,Veg_Meadow_497
BG64_D1,202607270641,11,9666,038,95.0260365424,32.8446525756,2012,7,train,138,Veg_Meadow_497
BG64_D1,202607270641,12,11192,044,94.6532356995,33.2488944535,2013,9,train,152,Veg_Meadow_497
BG64_D1,202607270641,13,54991,218,94.9541713196,33.2668607592,2009,8,train,103,Veg_Sparse
BG64_D1,202607270641,14,58006,230,94.680185158,33.0782145495,2008,11,train,94,Veg_Sparse
BG64_D1,202607270641,15,22759,090,94.509505254,33.4914395802,2011,8,train,127,Veg_Meadow_497
BG64_D1,202607270641,16,49521,196,94.3523000793,33.0961808552,2015,10,train,177,Veg_Meadow_504
BG64_D1,202607270641,17,34408,136,94.1367044111,33.0647398202,2016,5,train,184,Veg_Meadow_497
BG64_D1,202607270641,18,53263,211,93.8447519438,33.1770292307,2012,8,train,139,Veg_Meadow_504
BG64_D1,202607270641,19,48388,192,93.6561057341,33.5138974623,2005,5,train,52,Veg_Meadow_504
BG64_D1,202607270641,20,27049,107,94.6846767344,33.3971164754,2012,2,train,133,Veg_Meadow_497
BG64_D1,202607270641,21,33549,133,93.5977152406,33.4330490867,2007,10,train,81,Veg_Meadow_497
BG64_D1,202607270641,22,9882,039,94.6846767344,33.2893186413,2009,7,train,102,Veg_Meadow_497
BG64_D1,202607270641,23,16427,065,93.6426310048,33.1770292307,2008,12,train,95,Veg_Meadow_497
BG64_D1,202607270641,24,55779,221,95.4617194552,32.7143968594,2012,4,train,135,Veg_Sparse
BG64_D1,202607270641,25,37109,147,93.6246646991,33.5498300737,2010,6,train,113,Veg_Meadow_497
BG64_D1,202607270641,26,1061,004,95.6099414771,32.7997368114,2009,6,train,101,Veg_Coniferous
BG64_D1,202607270641,27,17964,071,94.1546707168,33.1815208072,2011,1,train,120,Veg_Meadow_497
BG64_D1,202607270641,28,61037,242,94.3882326906,32.9614335626,2009,6,train,101,Veg_Sparse
BG64_D1,202607270641,29,53820,213,94.1546707168,33.1410966194,2017,1,train,192,Veg_Meadow_504
BG64_D1,202607270641,30,56044,222,95.8929107915,32.6694810952,2013,5,train,148,Veg_Sparse
BG64_D1,202607270641,31,48239,191,93.6291562756,33.446523816,2013,12,train,155,Veg_Meadow_504
BG64_D1,202607270641,32,14623,058,95.1697669878,32.8716020341,2005,8,train,55,Veg_Meadow_497
BG64_D1,202607270641,33,53934,214,94.4466231841,33.5633048029,2005,7,train,54,Veg_Meadow_504
BG64_D1,202607270641,34,17277,068,95.2281574813,33.0243156324,2016,10,train,189,Veg_Meadow_497
BG64_D1,202607270641,35,57246,227,93.9705160835,33.3162680998,2008,7,train,90,Veg_Sparse
BG64_D1,202607270641,36,30998,123,94.594845206,33.7744088947,2005,3,train,50,Veg_Meadow_497
BG64_D1,202607270641,37,15918,063,94.2714517037,33.4779648509,2008,7,train,90,Veg_Meadow_497
BG64_D1,202607270641,38,37945,150,94.1097549526,33.4330490867,2017,2,train,193,Veg_Meadow_497
BG64_D1,202607270641,39,59822,237,94.1277212583,33.3342344055,2013,3,train,146,Veg_Sparse
BG64_D1,202607270641,40,39704,157,95.0844270358,32.9165177983,2016,9,train,188,Veg_Meadow_497
BG64_D1,202607270641,41,55441,220,94.370266385,32.9973661739,2005,2,train,49,Veg_Sparse
BG64_D1,202607270641,42,38390,152,93.718987804,33.4689816981,2012,3,train,134,Veg_Meadow_497
BG64_D1,202607270641,43,58232,231,94.2400106688,33.3162680998,2006,9,train,68,Veg_Sparse
BG64_D1,202607270641,44,39876,158,94.7745082628,32.9075346455,2010,1,train,108,Veg_Meadow_497
BG64_D1,202607270641,45,21082,083,94.4151821492,33.7294931305,2018,11,train,214,Veg_Meadow_497
BG64_D1,202607270641,46,13011,051,94.6083199353,32.9389756805,2018,4,train,207,Veg_Meadow_497
BG64_D1,202607270641,47,19515,077,94.5139968304,33.2084702657,2014,4,train,159,Veg_Meadow_497
BG64_D1,202607270641,48,47264,187,93.5932236642,33.6306784492,2016,9,train,188,Veg_Meadow_504
BG64_D1,202607270641,49,21459,085,95.9917254728,32.8850767634,2008,4,train,87,Veg_Meadow_497
BG64_D1,202607270641,50,8116,032,94.76552511,33.105164008,2009,5,train,100,Veg_Meadow_497
BG64_D1,202607270641,51,60647,240,93.7100046511,33.2803354884,2018,12,train,215,Veg_Sparse
BG64_D1,202607270641,52,60540,240,93.7100046511,33.2803354884,2010,1,train,108,Veg_Sparse
BG64_D1,202607270641,53,15703,062,94.9811207782,33.2533860299,2011,8,train,127,Veg_Meadow_497
BG64_D1,202607270641,54,30358,120,93.7594119918,33.0243156324,2014,11,train,166,Veg_Meadow_497
BG64_D1,202607270641,55,46738,185,94.9586628961,33.051265091,2014,11,train,166,Veg_Meadow_499
BG64_D1,202607270641,56,8821,035,93.858226673,33.3162680998,2005,2,train,49,Veg_Meadow_497
BG64_D1,202607270641,57,50026,198,93.5348331707,33.5363553444,2015,11,train,178,Veg_Meadow_504
BG64_D1,202607270641,58,15250,060,94.6577272759,33.5677963793,2015,11,train,178,Veg_Meadow_497
BG64_D1,202607270641,59,49046,194,94.3343337736,33.1141471609,2018,3,train,206,Veg_Meadow_504
BG64_D1,202607270641,60,11219,044,94.6532356995,33.2488944535,2015,12,train,179,Veg_Meadow_497
BG64_D1,202607270641,61,22718,090,94.509505254,33.4914395802,2008,3,train,86,Veg_Meadow_497
BG64_D1,202607270641,62,48185,191,93.6291562756,33.446523816,2009,6,train,101,Veg_Meadow_504
BG64_D1,202607270641,63,39312,156,95.2775648219,32.8266862699,2005,1,train,48,Veg_Meadow_497
BG64_D2,202607270642,0,11594,046,94.5409462889,33.0782145495,2005,3,train,50,Veg_Meadow_497
BG64_D2,202607270642,1,22267,088,94.8418819091,33.2354197242,2012,8,train,139,Veg_Meadow_497
BG64_D2,202607270642,2,17469,069,95.5874835949,32.6649895188,2011,10,train,129,Veg_Meadow_497
BG64_D2,202607270642,3,40209,159,95.1787501407,32.9434672569,2016,10,train,189,Veg_Meadow_497
BG64_D2,202607270642,4,56089,222,95.8929107915,32.6694810952,2017,2,train,193,Veg_Sparse
BG64_D2,202607270642,5,13439,053,95.8749444859,32.6829558245,2011,12,train,131,Veg_Meadow_497
BG64_D2,202607270642,6,30628,121,95.2640900927,32.8042283878,2016,5,train,184,Veg_Meadow_497
BG64_D2,202607270642,7,21195,084,94.3298421972,33.6755942134,2007,4,train,75,Veg_Meadow_497
BG64_D2,202607270642,8,31013,123,94.594845206,33.7744088947,2006,6,train,65,Veg_Meadow_497
BG64_D2,202607270642,9,19412,077,94.5139968304,33.2084702657,2005,9,train,56,Veg_Meadow_497
BG64_D2,202607270642,10,41662,165,94.5499294418,32.9883830211,2011,11,train,130,Veg_Meadow_497
BG64_D2,202607270642,11,16788,066,95.865961333,32.8446525756,2018,1,train,204,Veg_Meadow_497
BG64_D2,202607270642,12,48445,192,93.6561057341,33.5138974623,2010,2,train,109,Veg_Meadow_504
BG64_D2,202607270642,13,38171,151,94.8867976733,32.8940599162,2014,12,train,167,Veg_Meadow_497
BG64_D2,202607270642,14,16648,066,95.865961333,32.8446525756,2006,5,train,64,Veg_Meadow_497
BG64_D2,202607270642,15,55049,218,94.9541713196,33.2668607592,2014,6,train,161,Veg_Sparse
BG64_D2,202607270642,16,37098,147,93.6246646991,33.5498300737,2009,7,train,102,Veg_Meadow_497
BG64_D2,202607270642,17,55775,221,95.4617194552,32.7143968594,2011,12,train,131,Veg_Sparse
BG64_D2,202607270642,18,27886,110,94.114246529,33.5363553444,2018,11,train,214,Veg_Meadow_497
BG64_D2,202607270642,19,12881,051,94.6083199353,32.9389756805,2007,6,train,77,Veg_Meadow_497
BG64_D2,202607270642,20,60352,239,95.5829920185,32.6470232131,2015,5,train,172,Veg_Sparse
BG64_D2,202607270642,21,27015,107,94.6846767344,33.3971164754,2009,4,train,99,Veg_Meadow_497
BG64_D2,202607270642,22,50786,201,94.3118758915,32.9389756805,2016,3,train,182,Veg_Meadow_504
BG64_D2,202607270642,23,24049,095,95.1832417171,33.0153324796,2014,2,train,157,Veg_Meadow_497
BG64_D2,202607270642,24,42120,167,94.8373903327,33.0871977023,2008,1,train,84,Veg_Meadow_497
BG64_D2,202607270642,25,52451,208,93.7100046511,33.6306784492,2007,12,train,83,Veg_Meadow_504
BG64_D2,202607270642,26,49398,196,94.3523000793,33.0961808552,2005,7,train,54,Veg_Meadow_504
BG64_D2,202607270642,27,25021,099,94.4780642191,32.9165177983,2011,2,train,121,Veg_Meadow_497
BG64_D2,202607270642,28,61803,245,94.1456875639,33.3522007111,2010,4,train,111,Veg_Sparse
BG64_D2,202607270642,29,19198,076,95.385362656,32.7997368114,2008,11,train,94,Veg_Meadow_497
BG64_D2,202607270642,30,61004,242,94.3882326906,32.9614335626,2006,9,train,68,Veg_Sparse
BG64_D2,202607270642,31,55082,218,94.9541713196,33.2668607592,2017,3,train,194,Veg_Sparse
BG64_D2,202607270642,32,37148,147,93.6246646991,33.5498300737,2013,9,train,152,Veg_Meadow_497
BG64_D2,202607270642,33,5639,022,95.9737591671,32.7323631651,2012,12,train,143,Veg_Shrub
BG64_D2,202607270642,34,25707,102,95.0664607302,33.2938102177,2005,4,train,51,Veg_Meadow_497
BG64_D2,202607270642,35,35647,141,94.5454378654,33.5049143094,2014,8,train,163,Veg_Meadow_497
BG64_D2,202607270642,36,57840,229,94.7834914157,32.934484104,2016,1,train,180,Veg_Sparse
BG64_D2,202607270642,37,25784,102,95.0664607302,33.2938102177,2011,9,train,128,Veg_Meadow_497
BG64_D2,202607270642,38,20551,081,94.4196737256,33.6441531785,2016,8,train,187,Veg_Meadow_497
BG64_D2,202607270642,39,59062,234,94.4600979134,33.0782145495,2012,11,train,142,Veg_Sparse
BG64_D2,202607270642,40,53475,212,94.0693307648,33.6037289907,2009,4,train,99,Veg_Meadow_504
BG64_D2,202607270642,41,22706,090,94.509505254,33.4914395802,2007,3,train,74,Veg_Meadow_497
BG64_D2,202607270642,42,42702,169,94.3433169264,33.2623691827,2014,7,train,162,Veg_Meadow_497
BG64_D2,202607270642,43,45379,180,95.7581634989,32.7278715887,2006,8,train,67,Veg_Meadow_499
BG64_D2,202607270642,44,47400,188,93.5752573585,33.5138974623,2007,1,train,72,Veg_Meadow_504
BG64_D2,202607270642,45,10086,040,94.1232296818,33.5767795322,2005,7,train,54,Veg_Meadow_497
BG64_D2,202607270642,46,27472,109,94.4061989963,33.221944995,2005,5,train,52,Veg_Meadow_497
BG64_D2,202607270642,47,58999,234,94.4600979134,33.0782145495,2007,8,train,79,Veg_Sparse
BG64_D2,202607270642,48,47445,188,93.5752573585,33.5138974623,2010,10,train,117,Veg_Meadow_504
BG64_D2,202607270642,49,13718,054,94.9272218611,32.8401609992,2014,3,train,158,Veg_Meadow_497
BG64_D2,202607270642,50,40129,159,95.1787501407,32.9434672569,2010,2,train,109,Veg_Meadow_497
BG64_D2,202607270642,51,48917,194,94.3343337736,33.1141471609,2007,6,train,77,Veg_Meadow_504
BG64_D2,202607270642,52,48730,193,94.1546707168,33.4959311566,2012,11,train,142,Veg_Meadow_504
BG64_D2,202607270642,53,60885,241,94.1367044111,33.3207596762,2017,10,train,201,Veg_Sparse
BG64_D2,202607270642,54,48547,192,93.6561057341,33.5138974623,2018,8,train,211,Veg_Meadow_504
BG64_D2,202607270642,55,60330,239,95.5829920185,32.6470232131,2013,7,train,150,Veg_Sparse
BG64_D2,202607270642,56,35375,140,94.5364547125,33.0692313966,2012,12,train,143,Veg_Meadow_497
BG64_D2,202607270642,57,7435,029,95.9782507435,32.795245235,2015,8,train,175,Veg_Shrub
BG64_D2,202607270642,58,30149,119,94.2175527867,33.2039786893,2018,6,train,209,Veg_Meadow_497
BG64_D2,202607270642,59,51760,205,94.0872970705,33.671102637,2013,5,train,148,Veg_Meadow_504
BG64_D2,202607270642,60,30300,120,93.7594119918,33.0243156324,2010,1,train,108,Veg_Meadow_497
BG64_D2,202607270642,61,14649,058,95.1697669878,32.8716020341,2007,10,train,81,Veg_Meadow_497
BG64_D2,202607270642,62,4432,017,95.865961333,32.5931242961,2017,5,train,196,Veg_Shrub
BG64_D2,202607270642,63,46940,186,93.633647852,33.5094058859,2010,9,train,116,Veg_Meadow_504
BG64_D3,202607270643,0,42189,167,94.8373903327,33.0871977023,2013,10,train,153,Veg_Meadow_497
BG64_D3,202607270643,1,47189,187,93.5932236642,33.6306784492,2010,6,train,113,Veg_Meadow_504
BG64_D3,202607270643,2,1399,005,95.6907898526,32.6919389773,2016,8,train,187,Veg_Coniferous
BG64_D3,202607270643,3,28635,113,93.772886721,33.105164008,2018,4,train,207,Veg_Meadow_497
BG64_D3,202607270643,4,7939,031,94.0199234242,33.051265091,2015,8,train,175,Veg_Meadow_497
BG64_D3,202607270643,5,15990,063,94.2714517037,33.4779648509,2014,7,train,162,Veg_Meadow_497
BG64_D3,202607270643,6,13398,053,95.8749444859,32.6829558245,2008,7,train,90,Veg_Meadow_497
BG64_D3,202607270643,7,49943,198,93.5348331707,33.5363553444,2008,12,train,95,Veg_Meadow_504
BG64_D3,202607270643,8,52028,206,93.9031424372,33.4375406631,2014,9,train,164,Veg_Meadow_504
BG64_D3,202607270643,9,8432,033,94.0154318477,33.1725376543,2014,9,train,164,Veg_Meadow_497
BG64_D3,202607270643,10,60877,241,94.1367044111,33.3207596762,2017,2,train,193,Veg_Sparse
BG64_D3,202607270643,11,15164,060,94.6577272759,33.5677963793,2008,9,train,92,Veg_Meadow_497
BG64_D3,202607270643,12,58846,233,94.6846767344,33.756442589,2015,11,train,178,Veg_Sparse
BG64_D3,202607270643,13,8434,033,94.0154318477,33.1725376543,2014,11,train,166,Veg_Meadow_497
BG64_D3,202607270643,14,32823,130,94.4960305247,32.9479588333,2010,4,train,111,Veg_Meadow_497
BG64_D3,202607270643,15,23790,094,94.8643397912,33.3027933705,2013,7,train,150,Veg_Meadow_497
BG64_D3,202607270643,16,27865,110,94.114246529,33.5363553444,2017,2,train,193,Veg_Meadow_497
BG64_D3,202607270643,17,36820,146,94.253485398,33.2174534185,2007,5,train,76,Veg_Meadow_497
BG64_D3,202607270643,18,55548,220,94.370266385,32.9973661739,2014,1,train,156,Veg_Sparse
BG64_D3,202607270643,19,56309,223,93.9525497779,33.3387259819,2014,6,train,161,Veg_Sparse
BG64_D3,202607270643,20,32273,128,94.5858620532,33.446523816,2006,6,train,65,Veg_Meadow_497
BG64_D3,202607270643,21,45248,179,95.9737591671,32.7638042,2016,9,train,188,Veg_Meadow_499
BG64_D3,202607270643,22,41424,164,93.6965299219,33.2668607592,2013,1,train,144,Veg_Meadow_497
BG64_D3,202607270643,23,12877,051,94.6083199353,32.9389756805,2007,2,train,73,Veg_Meadow_497
BG64_D3,202607270643,24,12647,050,94.509505254,33.4195743575,2008,12,train,95,Veg_Meadow_497
