point_id,Lon,Lat,Year,Npp_raw,Npp_scaled_kgC_m2_yr,Npp_scaled_gC_m2_yr,Npp_QC_raw,npp_missing_or_masked,qc_missing_or_masked,product,collection,extraction_scale_m,product_crs,product_nominal_scale_m,point_source_sha256,script_execution_timestamp_utc
000,95.57850044210679,32.8536357284612,2001.0,2254.0,0.2254,225.4,14,0,0,MOD17A3HGF,MODIS/061/MOD17A3HGF,500,SR-ORG:6974,463.31271652791656,3C5C63E682F6617E7EF77F228B750A48A69306EF704F6AE188936B475C381AB1,2026-07-26T09:34:16.938Z
001,95.62790778273336,32.79973681141403,2001.0,2000.0,0.2,200.0,27,0,0,MOD17A3HGF,MODIS/061/MOD17A3HGF,500,SR-ORG:6974,463.31271652791656,3C5C63E682F6617E7EF77F228B750A48A69306EF704F6AE188936B475C381AB1,2026-07-26T09:34:16.938Z
002,95.62341620631277,32.750329470787456,2001.0,2018.0,0.2018,201.8,31,0,0,MOD17A3HGF,MODIS/061/MOD17A3HGF,500,SR-ORG:6974,463.31271652791656,3C5C63E682F6617E7EF77F228B750A48A69306EF704F6AE188936B475C381AB1,2026-07-26T09:34:16.938Z
003,95.69977300546293,32.68295582447849,2001.0,1856.0,0.1856,185.6,31,0,0,MOD17A3HGF,MODIS/061/MOD17A3HGF,500,SR-ORG:6974,463.31271652791656,3C5C63E682F6617E7EF77F228B750A48A69306EF704F6AE188936B475C381AB1,2026-07-26T09:34:16.938Z
004,95.60994147705098,32.79973681141403,2001.0,1582.0,0.1582,158.2,33,0,0,MOD17A3HGF,MODIS/061/MOD17A3HGF,500,SR-ORG:6974,463.31271652791656,3C5C63E682F6617E7EF77F228B750A48A69306EF704F6AE188936B475C381AB1,2026-07-26T09:34:16.938Z
005,95.69078985262173,32.69193897731969,2001.0,2102.0,0.2102,210.2,34,0,0,MOD17A3HGF,MODIS/061/MOD17A3HGF,500,SR-ORG:6974,463.31271652791656,3C5C63E682F6617E7EF77F228B750A48A69306EF704F6AE188936B475C381AB1,2026-07-26T09:34:16.938Z
006,95.63689093557456,32.750329470787456,2001.0,2007.0,0.2007,200.7,31,0,0,MOD17A3HGF,MODIS/061/MOD17A3HGF,500,SR-ORG:6974,463.31271652791656,3C5C63E682F6617E7EF77F228B750A48A69306EF704F6AE188936B475C381AB1,2026-07-26T09:34:16.938Z
007,95.69528142904232,32.70541370658148,2001.0,1924.0,0.1924,192.4,27,0,0,MOD17A3HGF,MODIS/061/MOD17A3HGF,500,SR-ORG:6974,463.31271652791656,3C5C63E682F6617E7EF77F228B750A48A69306EF704F6AE188936B475C381AB1,2026-07-26T09:34:16.938Z
008,95.55155098358321,32.82668626993762,2001.0,1767.0,0.1767,176.7,24,0,0,MOD17A3HGF,MODIS/061/MOD17A3HGF,500,SR-ORG:6974,463.31271652791656,3C5C63E682F6617E7EF77F228B750A48A69306EF704F6AE188936B475C381AB1,2026-07-26T09:34:16.938Z
009,95.7491803460895,32.69193897731969,2001.0,1630.0,0.163,163.0,39,0,0,MOD17A3HGF,MODIS/061/MOD17A3HGF,500,SR-ORG:6974,463.31271652791656,3C5C63E682F6617E7EF77F228B750A48A69306EF704F6AE188936B475C381AB1,2026-07-26T09:34:16.938Z
010,95.56053413642441,32.82219469351702,2001.0,1703.0,0.1703,170.3,27,0,0,MOD17A3HGF,MODIS/061/MOD17A3HGF,500,SR-ORG:6974,463.31271652791656,3C5C63E682F6617E7EF77F228B750A48A69306EF704F6AE188936B475C381AB1,2026-07-26T09:34:16.938Z
